,balance,equity,balance_btc,equity_btc
7860,102570.1325790005,101583.78572720039,9.838548064805911,9.828057558189295
7920,102570.1325790005,101573.34933201945,9.838548064805911,9.82794164115693
7980,102570.1325790005,101340.30684813918,9.838548064805911,9.825347735022708
8040,102570.1325790005,101126.69382337232,9.838548064805911,9.82296079947822
8100,102570.1325790005,101687.70557708695,9.838548064805911,9.829210646707539
8160,102570.1325790005,101860.12814853339,9.838548064805911,9.831119241359502
8220,102570.1325790005,101938.06803594834,9.838548064805911,9.831980103795072
8280,102570.1325790005,102085.73192521025,9.838548064805911,9.83360789006496
8340,102570.1325790005,102951.73067426511,9.838548064805911,9.843070974496895
8400,102570.1325790005,103014.90417275386,9.838548064805911,9.843755773793967
8460,102570.1325790005,102801.40217346765,9.838548064805911,9.841438417030783
8520,102570.1325790005,102874.56796521472,9.838548064805911,9.842233520967008
8580,102570.1325790005,102721.79690384299,9.838548064805911,9.84057219395733
8640,102570.1325790005,102699.14770579078,9.838548064805911,9.840325519691428
8700,102570.1325790005,102572.80070881329,9.838548064805911,9.838947692875642
8760,102570.1325790005,102507.4067007116,9.838548064805911,9.838233382573245
8820,103620.10044581172,102642.74676162156,9.84561726466667,9.839710833134088
8880,103622.47389737671,104000.83046543637,9.84561726466667,9.84561726466667
8940,103622.47389737671,103650.83948732985,9.84561726466667,9.845787574681555
9000,103622.47389737671,103730.78553163544,9.84561726466667,9.846647251174026
9060,103622.47389737671,103583.32949436069,9.84561726466667,9.845060709353902
9120,103622.47389737671,103779.08626673675,9.84561726466667,9.847166069841364
9180,103622.47389737671,103790.52299251936,9.84561726466667,9.847288853854916
9240,103622.47389737671,103240.44979322776,9.84561726466667,9.84135599198394
9300,103622.47389737671,102877.58358101847,9.84561726466667,9.837411497172772
9360,103622.47389737671,101298.20506129226,9.84561726466667,9.819951923192876
9420,103622.47389737671,100992.96662268658,9.84561726466667,9.816521931509593
9480,103622.47389737671,101298.20506129226,9.84561726466667,9.819951923192876
9540,103622.47389737671,101351.94656885325,9.84561726466667,9.820553929536894
9600,103622.47389737671,101103.89175916059,9.84561726466667,9.817770525406324
9660,100674.51191766871,100587.90666487155,9.84561726466667,9.81194183383162
9720,100674.51191766871,100899.19697176023,9.84561726466667,9.824749702700148
9780,100674.51191766871,100629.22677524488,9.84561726466667,9.81820394421493
9840,100674.51191766871,101339.38566506156,9.84561726466667,9.835366350212748
9900,100674.51191766871,101384.75111696997,9.84561726466667,9.836456549792178
9960,100674.51191766871,101320.55965620044,9.84561726466667,9.834913717474002
10020,100674.51191766871,101326.8349924875,9.84561726466667,9.835064609112399
10080,100674.51191766871,101623.60610439541,9.84561726466667,9.842184506266197
10140,100674.51191766871,101097.1315371473,9.84561726466667,9.829532168775941
10200,100674.51191766871,101828.8618954507,9.84561726466667,9.847090554544547
10260,100674.51191766871,101846.38054258535,9.84561726466667,9.847508597425668
10320,100674.51191766871,101895.92955201841,9.84561726466667,9.84869038617479
10380,100674.51191766871,101841.93551271535,9.84561726466667,9.847402537100171
10440,100674.51191766871,101934.88893146714,9.84561726466667,9.849618994800247
10500,102536.75486365473,101988.88297077021,9.863277114881354,9.85090507529232
10560,102557.77995550443,102560.83515550444,9.863277114881354,9.863316393446992
10620,102557.77995550443,102082.0866023357,9.863277114881354,9.85803165962053
10680,102557.77995550443,102299.68945716046,9.863277114881354,9.860439128920618
10740,103232.94794673161,102785.56522768275,9.87041851206172,9.8657820668724
10800,103316.41513552109,103707.15075302377,9.877539410095707,9.877539410095707
10860,104232.4178824539,103869.48909149495,9.88462838741514,9.882073760714588
10920,104232.4178824539,105379.2324679618,9.88462838741514,9.88462838741514
10980,104232.4178824539,105073.59975822293,9.88462838741514,9.88462838741514
11040,104232.4178824539,105822.4592048535,9.88462838741514,9.88462838741514
11100,104232.4178824539,106015.2094584081,9.88462838741514,9.88462838741514
11160,104232.4178824539,105572.77349178739,9.88462838741514,9.88462838741514
11220,104232.4178824539,105438.5402382863,9.88462838741514,9.88462838741514
11280,104232.4178824539,105275.24617732619,9.88462838741514,9.88462838741514
11340,104232.4178824539,105526.01919951492,9.88462838741514,9.88462838741514
11400,105516.89652410311,106125.7196037794,9.88462838741514,9.88462838741514
11460,105516.89652410311,105086.29068997485,9.88462838741514,9.879316601483016
11520,105516.89652410311,105376.01755176375,9.88462838741514,9.88240798798121
11580,105516.89652410311,105483.25773685069,9.88462838741514,9.883548423192703
11640,106415.75223423632,105976.09438785832,9.891714055981819,9.88876312076328
11700,106214.52954213276,106385.28575494389,9.891714055981819,9.891714055981819
11760,106214.52954213276,106305.73454588973,9.891714055981819,9.89210782149847
11820,106214.52954213276,105949.03969609832,9.891714055981819,9.888360812812737
11880,106214.52954213276,106050.14039258608,9.891714055981819,9.889425126528156
11940,106214.52954213276,106015.69704615309,9.891714055981819,9.889062734588226
12000,106214.52954213276,106332.48665962409,9.891714055981819,9.89238794777746
12060,106214.52954213276,105030.21605646373,9.891714055981819,9.87860487039366
12120,107080.12943772711,105605.27503461184,9.898759646400528,9.88472839270849
